"Table","P_Value"
1,0.000499750124937531
2,0.000499750124937531
3,0.000499750124937531
4,0.000499750124937531
5,0.0594702648675662
6,0.000499750124937531
7,0.000499750124937531
8,0.000499750124937531
9,0.000499750124937531
10,0.260369815092454
11,0.000499750124937531
12,0.000499750124937531
13,0.547726136931534
14,0.000499750124937531
15,0.000499750124937531
16,0.000499750124937531
17,0.000499750124937531
18,0.578210894552724
19,0.000499750124937531
20,0.000499750124937531
21,0.000499750124937531
22,0.000499750124937531
23,0.000499750124937531
24,0.000499750124937531
25,0.000499750124937531
26,0.000499750124937531
27,0.000499750124937531
28,0.00299850074962519
29,0.000499750124937531
30,0.000499750124937531
31,0.000499750124937531
32,0.000499750124937531
33,0.000499750124937531
34,0.602698650674663
35,0.000499750124937531
36,0.51424287856072
